Enum,PopupRelease,PopupDevelopment,Message,
OK,0,0,_ERROCDE_OK,
Fail,0,1,_ERROCDE_Fail,
AlreadyPurchasedItem ,0,1,_ERROCDE_AlreadyPurchasedItem ,
FailedEnterRoom,0,1,_ERROCDE_FailedEnterRoom,
MaximumValue,0,1,_ERROCDE_MaximumValue,
ServerInternalProblem,0,1,_ERROCDE_ServerInternalProblem,
CantExcuteEpicQuest,0,1,_ERROCDE_CantExcuteEpicQuest,
ToShortLength,0,1,_ERROCDE_ToShortLength,
ToLongLength,0,1,_ERROCDE_ToLongLength,
FindForbiddenWord,0,1,_ERROCDE_FindForbiddenWord,
RefreshData,0,1,_ERROCDE_RefreshData,
NewSocialAccount,0,0,_ERROCDE_NewSocialAccount,
ExistUser,0,1,_ERROCDE_ExistUser,
ExistItem,0,1,_ERROCDE_ExistItem,
ExistRevive,0,1,_ERROCDE_ExistRevive,
ExistsReward,0,1,_ERROCDE_ExistsReward,
ExistsFriendRequest,0,1,_ERROCDE_ExistsFriendRequest,
ExistsFriend,0,1,_ERROCDE_ExistsFriend,
ExistsFriendResponse,0,1,_ERROCDE_ExistsFriendResponse,
ExistsReceipt,0,1,_ERROCDE_ExistsReceipt,
NotFoundServer,0,1,_ERROCDE_NotFoundServer,
NotFoundRoom,0,1,_ERROCDE_NotFoundRoom,
NotFoundUser,0,0,_ERROCDE_NotFoundUser,
NotFoundData,0,1,_ERROCDE_NotFoundData,
NotFoundSession,0,1,_ERROCDE_NotFoundSession,
NotFoundItem,0,1,_ERROCDE_NotFoundItem,
NotEnoughItem,0,1,_ERROCDE_NotEnoughItem,
NotEnoughLevel,0,1,_ERROCDE_NotEnoughLevel,
NotEnoughGemLevel,0,1,_ERROCDE_NotEnoughGemLevel,
NotEnoughDungeonStar,0,1,_ERROCDE_NotEnoughDungeonStar,
NotEnoughCount,0,1,_ERROCDE_NotEnoughCount,
NotEnoughTime,0,1,_ERROCDE_NotEnoughTime,
NotEnoughFriendCount,0,1,_ERROCDE_NotEnoughFriendCount,
NotEnoughFriendCount2,0,1,_ERROCDE_NotEnoughFriendCount2,
NotValidCharacterType  ,0,1,_ERROCDE_NotValidCharacterType  ,
NotValidWeaponType,0,1,_ERROCDE_NotValidWeaponType,
NotValidConsumableType,0,1,_ERROCDE_NotValidConsumableType,
NotValidDungeonId,0,1,_ERROCDE_NotValidDungeonId,
NotValidDungeonRoomId,0,1,_ERROCDE_NotValidDungeonRoomId,
NotValidIndex,0,1,_ERROCDE_NotValidIndex,
NotValidArgument,0,1,_ERROCDE_NotValidArgument,
NotValidUserID,0,1,_ERROCDE_NotValidUserID,
NotValidUserName,0,1,_ERROCDE_NotValidUserName,
NotValidDevice,0,1,_ERROCDE_NotValidDevice,
NotValidCharacter,0,1,_ERROCDE_NotValidCharacter,
NotValidFacebookInfo,0,0,_ERROCDE_NotValidFacebookInfo,
NotValidProductID,0,1,_ERROCDE_NotValidProductID,
NotValidReceipt,0,1,_ERROCDE_NotValidReceipt,
NotValidServerName,0,0,_ERROCDE_NotValidServerName,
ExistServerName,0,0,_ERROCDE_ExistServerName,
ExistServer,0,0,_ERROCDE_ExistServer,
